Ata;Dia;Vereadores Presentes;Vereadores Ausentes;Leis;Link da Ata
48ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;5 de Junho de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Vicente, Estrela Barros, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Enilson, Raimundo Filho, Rene Pessoa, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Benigno Júnior, Dr. Luciano Girão, Gabriel Aguiar, Julierme Sena, Mari Lacerda, Priscila Costa e Ronaldo Martins;0015/2025, 0025/2025, 0030/2025, 0043/2025, 0045/2025, 0099/2024, 0144/2023, 0223/2023, 0298/2025, 0305/2023, 0833/2025, 0834/2025, 0851/2025, 0853/2025, 0876/2025, 0893/2025, 0902/2025, 0917/2025, 1222/2025, 1223/2025, 1233/2025, 1248/2025, 1255/2025, 1493/2024, 3798/2025, 3859/2025, 5713/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1838/ata/a05062025.pdf
48ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;5 de Junho de 2025;Adail Júnior, A driana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He- Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Tia Francisca, Tony Brito e Wellington Sabóia;Carla Ibiapina, Julierme Sena, Pedro Matos, Priscila Costa, Ronaldo Martins e Tan Oliveira;0015/2025, 0025/2025, 0030/2025, 0043/2025, 0045/2025, 0099/2024, 0144/2023, 0223/2023, 0298/2025, 0305/2023, 0833/2025, 0834/2025, 0851/2025, 0853/2025, 0876/2025, 0893/2025, 0902/2025, 0917/2025, 1222/2025, 1223/2025, 1233/2025, 1248/2025, 1255/2025, 1493/2024, 3798/2025, 3859/2025, 5713/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1838/ata/a05062025.pdf
19ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;4 de Junho de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Vicente, Gabriel Aguiar, Germano HeMan, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Enilson, Raimundo Filho, Rene Pessoa, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Dr. Luciano Girão, Estrela Barros, Gardel Rolim, Inspetor Alberto, Priscila Costa e Ronaldo Martins;0023/2025, 0024/2025, 0032/2025, 0369/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1837/ata/a04062025_-_19a_extraordinaria.pdf
19ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;4 de Junho de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He- Man, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Dr. Luciano Girão, Inspetor Alberto e Ronaldo Martins;0023/2025, 0024/2025, 0032/2025, 0369/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1837/ata/a04062025_-_19a_extraordinaria.pdf
18ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;4 de Junho de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Professora Adriana Almeida, Professor Enilson, Raimundo Filho, Rene Pessoa, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Estrela Barros, Inspetor Alberto, Pedro Matos, PP CELL, Priscila Costa e Ronaldo Martins;0003/2024, 0023/2025, 0024/2025, 0032/2025, 0369/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1836/ata/a04062025_-_18a_extraordinaria.pdf
18ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;4 de Junho de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana 1 Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Nenhum ausente registrado;0003/2024, 0023/2025, 0024/2025, 0032/2025, 0369/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1836/ata/a04062025_-_18a_extraordinaria.pdf
47ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;4 de Junho de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Bruno Mesquita, Dr. Luciano Girão, Germano He-Man, Inspetor Alberto, Julierme Sena e Priscila Costa;0011/2025, 0021/2025, 0023/2025, 0024/2025, 0029/2025, 0032/2025, 0053/2024, 0083/2024, 0182/2022, 0253/2025, 0308/2025, 0327/2025, 0369/2025, 0410/2022, 0441/2023, 0610/2025, 0767/2025, 0829/2025, 0850/2025, 0852/2025, 0863/2025, 0870/2025, 0873/2025, 0874/2025, 0892/2025, 0895/2025, 0976/2025, 1095/2025, 1096/2025, 1180/2025, 1194/2025, 1195/2025, 1196/2025, 1204/2025, 1206/2025, 1218/2025, 1282/2025, 1283/2025, 1330/2025, 5699/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1835/ata/a04062025.pdf
47ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;4 de Junho de 2025;Adail Júnior, A driana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Gardel Rolim e Ronaldo Martins;0011/2025, 0021/2025, 0023/2025, 0024/2025, 0029/2025, 0032/2025, 0053/2024, 0083/2024, 0182/2022, 0253/2025, 0308/2025, 0327/2025, 0369/2025, 0410/2022, 0441/2023, 0610/2025, 0767/2025, 0829/2025, 0850/2025, 0852/2025, 0863/2025, 0870/2025, 0873/2025, 0874/2025, 0892/2025, 0895/2025, 0976/2025, 1095/2025, 1096/2025, 1180/2025, 1194/2025, 1195/2025, 1196/2025, 1204/2025, 1206/2025, 1218/2025, 1282/2025, 1283/2025, 1330/2025, 5699/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1835/ata/a04062025.pdf
17ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;3 de Junho de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Vicente, Estrela Barros, Gardel Rolim, Germano He-Man, Irmão Leo, Janio Henrique, Leo Couto, Luiz Sérgio, Marcel Colares, Marcelo Tchela, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Tan Oliveira e Tony Brito;Dr. Luciano Girão, Gabriel Aguiar, Inspetor Alberto, Jorge Pinheiro, Julierme Sena, Luiz Paupina, Marcelo Mendes, Mari Lacerda, Priscila Costa, Ronaldo Martins, Tia Francisca e Wellington Sabóia;0023/2025, 0024/2025, 0032/2025, 0369/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1834/ata/a03062025_-_17a_extraordinaria.pdf
17ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;3 de Junho de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Sérgio, Marcel Colares, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Julierme Sena, Luiz Paupina, Marcelo Mendes, Pedro Matos, Priscila Costa, Rene Pessoa e Ronaldo Martins;0023/2025, 0024/2025, 0032/2025, 0369/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1834/ata/a03062025_-_17a_extraordinaria.pdf
