Ata;Dia;Vereadores Presentes;Vereadores Ausentes;Leis;Link da Ata
46ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;3 de Junho de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Dr. Luciano Girão, Germano He-Man, Julierme Sena, Priscila Costa e Ronaldo Martins;0003/2025, 0010/2025, 0023/2025, 0024/2025, 0032/2025, 0191/2025, 0274/2022, 0295/2025, 0304/2025, 0369/2025, 0372/2022, 0399/2025, 0547/2025, 0602/2025, 0616/2025, 0760/2025, 0781/2025, 0818/2025, 0830/2025, 0849/2025, 0855/2025, 0857/2025, 0858/2025, 1029/2025, 1093/2025, 1094/2025, 1160/2025, 1173/2025, 1178/2025, 1190/2025, 1208/2025, 1641/2025, 1674/2025, 2708/2025, 5319/2025, 5446/2024, 5515/2025, 5628/2025, 5660/2025, 784/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1833/ata/a03062025.pdf
46ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;3 de Junho de 2025;Adail Júnior, A driana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno 4 Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Tan Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Nenhum ausente registrado;0003/2025, 0010/2025, 0023/2025, 0024/2025, 0032/2025, 0191/2025, 0274/2022, 0295/2025, 0304/2025, 0369/2025, 0372/2022, 0399/2025, 0547/2025, 0602/2025, 0616/2025, 0760/2025, 0781/2025, 0818/2025, 0830/2025, 0849/2025, 0855/2025, 0857/2025, 0858/2025, 1029/2025, 1093/2025, 1094/2025, 1160/2025, 1173/2025, 1178/2025, 1190/2025, 1208/2025, 1641/2025, 1674/2025, 2708/2025, 5319/2025, 5446/2024, 5515/2025, 5628/2025, 5660/2025, 784/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1833/ata/a03062025.pdf
45ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;29 de Maio de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Enilson, Raimundo Filho, Rene Pessoa, Tia Francisca, Tony Brito e Wellington Sabóia;Julierme Sena, Paulo Martins, Priscila Costa e Ronaldo Martins;0001/2025, 0009/2025, 0015/2025, 0016/2025, 0025/2025, 0027/2025, 0030/2025, 0038/2025, 0040/2025, 0169/2025, 0171/2025, 0172/2025, 0175/2025, 0178/2025, 0188/2025, 0230/2021, 0350/2021, 0382/2021, 0469/2025, 0470/2025, 0601/2025, 0730/2025, 0799/2025, 0832/2025, 1091/2025, 1092/2025, 1101/2025, 1121/2025, 1164/2025, 1169/2025, 1171/2025, 1181/2025, 1186/2025, 1221/2025, 1370/2021, 1619/2023, 5547/2025, 670/2020;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1832/ata/a29052025.pdf
45ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;29 de Maio de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Tia Francisca, Tony Brito e Wellington Sabóia;Gardel Rolim, Priscila Costa e Ronaldo Martins;0001/2025, 0009/2025, 0015/2025, 0016/2025, 0025/2025, 0027/2025, 0030/2025, 0038/2025, 0040/2025, 0169/2025, 0171/2025, 0172/2025, 0175/2025, 0178/2025, 0188/2025, 0230/2021, 0350/2021, 0382/2021, 0469/2025, 0470/2025, 0601/2025, 0730/2025, 0799/2025, 0832/2025, 1091/2025, 1092/2025, 1101/2025, 1121/2025, 1164/2025, 1169/2025, 1171/2025, 1181/2025, 1186/2025, 1221/2025, 1370/2021, 1619/2023, 5547/2025, 670/2020;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1832/ata/a29052025.pdf
44ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;28 de Maio de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Gardel Rolim, Julierme Sena e Priscila Costa;0099/2024, 0129/2025, 0132/2025, 0135/2025, 0165/2025, 0167/2025, 0266/2025, 0467/2025, 0468/2025, 0599/2025, 0805/2025, 0814/2025, 0821/2025, 0828/2025, 1083/2025, 1084/2025, 1151/2025, 1161/2025, 1163/2025, 1168/2025, 1172/2025, 1179/2025, 1205/2025, 1210/2025, 5296/2025, 5334/2025, 5480/2025, 809/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1831/ata/a28052025.pdf
44ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;28 de Maio de 2025;Adail Júnior, A driana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Inspetor Alberto, Irmão Leo, Janio Henrique, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Carla Ibiapina, Chiquinho dos Carneiros, Germano He-Man, Jorge Pinheiro, Julierme Sena e Pedro Matos;0099/2024, 0129/2025, 0132/2025, 0135/2025, 0165/2025, 0167/2025, 0266/2025, 0467/2025, 0468/2025, 0599/2025, 0805/2025, 0814/2025, 0821/2025, 0828/2025, 1083/2025, 1084/2025, 1151/2025, 1161/2025, 1163/2025, 1168/2025, 1172/2025, 1179/2025, 1205/2025, 1210/2025, 5296/2025, 5334/2025, 5480/2025, 809/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1831/ata/a28052025.pdf
43ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;27 de Maio de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Enilson, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Gabriel Aguiar, Julierme Sena, Pedro Matos e Raimundo Filho;0008/2025, 0022/2025, 0030/2025, 0035/2025, 0037/2025, 0041/2025, 0061/2025, 0073/2025, 0076/2025, 0104/2025, 0120/2025, 0124/2025, 0305/2023, 0444/2025, 0446/2025, 0910/2023, 1081/2025, 1082/2025, 1109/2025, 1110/2025, 1117/2025, 1119/2025, 1120/2025, 1141/2025, 1142/2025, 1150/2025, 1166/2025, 5361/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1830/ata/a27052025.pdf
43ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;27 de Maio de 2025;Adail Júnior, A driana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Irmão Leo e Priscila Costa;0008/2025, 0022/2025, 0030/2025, 0035/2025, 0037/2025, 0041/2025, 0061/2025, 0073/2025, 0076/2025, 0104/2025, 0120/2025, 0124/2025, 0305/2023, 0444/2025, 0446/2025, 0910/2023, 1081/2025, 1082/2025, 1109/2025, 1110/2025, 1117/2025, 1119/2025, 1120/2025, 1141/2025, 1142/2025, 1150/2025, 1166/2025, 5361/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1830/ata/a27052025.pdf
42ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;22 de Maio de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, BelIa Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Vicente, Estrela Barros, Germano He-Man, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, PP CELL, Professora Adriana Almeida, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Dr. Luciano Girão, Gabriel Aguiar, Gardel Rolim, Inspetor Alberto, Julierme Sena, Pedro Matos, Priscila Costa, Professor Enilson, Raimundo Filho, Rene Pessoa e Ronaldo Marfins;0057/2025, 0096/2024, 0105/2023, 0109/2023, 0121/2024, 0122/2024, 0123/2022, 0125/2025, 0126/2024, 0215/2024, 0248/2023, 0395/2023, 0443/2025, 0445/2025, 0814/2024, 1079/2025, 1080/2025, 1156/2025, 1159/2025, 1162/2025, 3913/2025, 4926/2025, 5248/2025, 5281/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1829/ata/a22052025.pdf
42ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;22 de Maio de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, BelIa Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Irmão Leo e Julierme Sena;0057/2025, 0096/2024, 0105/2023, 0109/2023, 0121/2024, 0122/2024, 0123/2022, 0125/2025, 0126/2024, 0215/2024, 0248/2023, 0395/2023, 0443/2025, 0445/2025, 0814/2024, 1079/2025, 1080/2025, 1156/2025, 1159/2025, 1162/2025, 3913/2025, 4926/2025, 5248/2025, 5281/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1829/ata/a22052025.pdf
41ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;21 de Maio de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, BelIa Carmelo, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Professora Adriana Almeida, Professor Enilson, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Benigno Júnior, Dr. Luciano Girão, Julierme Sena, Priscila Costa e Raimundo Filho;0015/2025, 0017/2025, 0023/2025, 0095/2024, 0121/2024, 0199/2025, 0274/2025, 0290/2023, 0321/2025, 0441/2025, 0442/2025, 0456/2019, 0824/2025, 1077/2025, 1078/2025, 1125/2025, 1126/2025, 1139/2025, 1140/2025, 3125/2025, 4606/2025, 5054/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1828/ata/a21052025.pdf
41ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;21 de Maio de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, Beila Carmelo, Benigno Júnior, Bruno Mesquita, Cana Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Taba, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Nenhum ausente registrado;0015/2025, 0017/2025, 0023/2025, 0095/2024, 0121/2024, 0199/2025, 0274/2025, 0290/2023, 0321/2025, 0441/2025, 0442/2025, 0456/2019, 0824/2025, 1077/2025, 1078/2025, 1125/2025, 1126/2025, 1139/2025, 1140/2025, 3125/2025, 4606/2025, 5054/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1828/ata/a21052025.pdf
40ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;20 de Maio de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Bella Carmelo, Dr. Vicente e Julierme Sena;0052/2025, 0090/2024, 0091/2024, 0119/2024, 0222/2025, 0256/2025, 0310/2025, 0439/2025, 0440/2025, 0553/2025, 0596/2025, 0707/2025, 0723/2025, 0724/2025, 0725/2025, 0776/2025, 0844/2025, 1030/2025, 1075/2025, 1076/2025, 1111/2025, 1122/2025, 1138/2025, 1455/2025, 3548/2025, 3585/2025, 3612/2025, 3652/2025, 5077/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1827/ata/a20052025.pdf
40ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;20 de Maio de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Tia Francisca, Tony Brito e Wellington Sabóia;Julierme Sena, Ronaldo Martins e Soldado Noelio;0052/2025, 0090/2024, 0091/2024, 0119/2024, 0222/2025, 0256/2025, 0310/2025, 0439/2025, 0440/2025, 0553/2025, 0596/2025, 0707/2025, 0723/2025, 0724/2025, 0725/2025, 0776/2025, 0844/2025, 1030/2025, 1075/2025, 1076/2025, 1111/2025, 1122/2025, 1138/2025, 1455/2025, 3548/2025, 3585/2025, 3612/2025, 3652/2025, 5077/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1827/ata/a20052025.pdf
39ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;15 de Maio de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, BeIIa Carmelo, Benigno Júnior, Bruno Mesquita, Chiquinho dos Carneiros, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Ronaldo Martins, Soldado Noelio, Tony Brito e Wellington Sabóia;Cana Ibiapina, Dr. Luciano Girão, Julierme Sena e Tia Francisca;0019/2025, 0021/2025, 0035/2025, 0133/2022, 0312/2023, 0327/2025, 0434/2025, 0436/2025, 0595/2025, 0783/2025, 0827/2025, 1072/2025, 1074/2025, 1107/2025, 1108/2025, 1130/2025, 1131/2025, 1133/2025, 1449/2025, 2100/2025, 2387/2025, 2415/2025, 2610/2025, 3506/2025, 3521/2025, 4982/2025, 4999/2025, 5000/2025, 6169/2022;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1826/ata/a15052025.pdf
39ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;15 de Maio de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, Belia Carmelo, Benigno Júnior, Bruno Mesquita, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Nenhum ausente registrado;0019/2025, 0021/2025, 0035/2025, 0133/2022, 0312/2023, 0327/2025, 0434/2025, 0436/2025, 0595/2025, 0783/2025, 0827/2025, 1072/2025, 1074/2025, 1107/2025, 1108/2025, 1130/2025, 1131/2025, 1133/2025, 1449/2025, 2100/2025, 2387/2025, 2415/2025, 2610/2025, 3506/2025, 3521/2025, 4982/2025, 4999/2025, 5000/2025, 6169/2022;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1826/ata/a15052025.pdf
38ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;14 de Maio de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, BeIla Carmelo, Benigno Júnior, Bruno Mesquita, Cana Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Taba, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brita e Wellington Sabóia;Nenhum ausente registrado;0036/2025, 0158/2025, 0214/2025, 0274/2022, 0426/2025, 0785/2025, 0789/2025, 0790/2025, 0795/2025, 0907/2025, 1070/2025, 1071/2025, 1105/2025, 1106/2025, 1115/2025, 2523/2025, 3286/2025, 4607/2025, 4694/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1825/ata/a14052025.pdf
38ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;14 de Maio de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, BeIla Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Taba, Professor Enilson, Raimundo Filho, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brita e Wellington Sabóia, ao toda quarenta e três;Nenhum ausente registrado;0036/2025, 0158/2025, 0214/2025, 0274/2022, 0426/2025, 0785/2025, 0789/2025, 0790/2025, 0795/2025, 0907/2025, 1070/2025, 1071/2025, 1105/2025, 1106/2025, 1115/2025, 2523/2025, 3286/2025, 4607/2025, 4694/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1825/ata/a14052025.pdf
37ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;13 de Maio de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Cana Ibiapina, Chiquinho dos Carneiros, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Germano He-Man, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Michel Lins, Paulo Marfins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Enilson, Rene Pessoa, Ronaldo Marfins, Tony Brito e Wellington Sabóia;Dr. Luciano Girão, Dr. Vicente, Julierme Sena, Mari Lacerda, Raimundo Filho, Soldado Noelio e Tia Francisca;0026/2025, 0028/2025, 0032/2025, 0121/2024, 0131/2025, 0156/2025, 0162/2025, 0164/2025, 0166/2025, 0176/2025, 0290/2023, 0423/2025, 0424/2025, 0591/2025, 0759/2025, 0782/2025, 0831/2025, 1068/2025, 1069/2025, 1073/2025, 1102/2025, 1103/2025, 1104/2025, 1118/2025, 4793/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1824/ata/a13052025.pdf
37ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;13 de Maio de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, BeIla Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Inspetor Alberto, Janio Henrique, Jorge Pinheiro, Julierme Sena, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Pedro Matos, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Rene Pessoa, Ronaldo Martins, Soldado Noelio, Tia Francisca, Tony Brito e Wellington Sabóia;Germano He- Man, Irmão Leo e Raimundo Filho;0026/2025, 0028/2025, 0032/2025, 0121/2024, 0131/2025, 0156/2025, 0162/2025, 0164/2025, 0166/2025, 0176/2025, 0290/2023, 0423/2025, 0424/2025, 0591/2025, 0759/2025, 0782/2025, 0831/2025, 1068/2025, 1069/2025, 1073/2025, 1102/2025, 1103/2025, 1104/2025, 1118/2025, 4793/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1824/ata/a13052025.pdf
